hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0187,2452,비엘에스의원,의원,서울특별시,강남구,압구정동,이동진,서울특별시 강남구 신사동 591-1 동양빌딩8층,
BE_LiST21-0188,2177,올래성형외과의원,의원,서울특별시,강남구,압구정동,홍기석,서울특별시 강남구 신사동 603 A동 2층일부,
BE_LiST21-0189,276,김종서성형외과의원,의원,서울특별시,강남구,압구정동,김종서,서울특별시 강남구 신사동 599-4 압구정빌딩 2층,"일본,중국,"
BE_LiST21-0190,278,압구정드림성형외과,의원,서울특별시,강남구,압구정동,송홍식,서울특별시 강남구 압구정로 172 (신사동),"미국,중국,"
BE_LiST21-0191,281,서울대학교병원강남의원,의원,서울특별시,강남구,역삼1동,조상헌,서울특별시 강남구 역삼동 737,"미국,중국,러시아,"
BE_LiST21-0192,284,하늘체한의원,한의원,서울특별시,강남구,압구정동,최형석,"서울특별시 강남구 신사동 613-5 캐럴라인타워 203,204호","일본,"
BE_LiST21-0895,2615,경희유엔한의원,한의원,서울특별시,용산구,한남동,이승헌,"서울특별시 용산구 독서당로 86, 한성빌딩2층",
BE_LiST21-0896,2640,서울삼성치과의원,치과의원,서울특별시,금천구,가산동,김완수,"서울특별시 금천구 가산디지털1로 165, 207호",
BE_LiST21-0897,2607,제나한의원,한의원,서울특별시,강남구,역삼1동,이상흔,서울특별시 강남구 역삼동 822-2 비전타워 15층,
BE_LiST21-0898,2618,서울맑은치과의원,치과의원,서울특별시,영등포구,문래동,신동원,서울특별시 영등포구 문래동 3가 68번지 1층,
BE_LiST21-0899,2620,아이앤지성형외과의원,의원,서울특별시,강남구,역삼1동,최재혁,"서울특별시 강남구 역삼1동 820-11, 시계탑빌딩7층",
BE_LiST21-0900,2613,예롬성형외과의원,의원,서울특별시,강남구,신사동,나민화,"서울특별시 강남구 신사동 577-6, 세일빌딩401호",
BE_LiST21-0901,2593,압구정비제이성형외과의원,의원,서울특별시,강남구,신사동,배재영,"서울특별시 강남구 신사동 569-30, 두림빌딩2층",
BE_LiST21-0903,2531,리젠의원,의원,서울특별시,서초구,서초4동,신영근,서울특별시 서초구 강남대로 463 리젠타워8층,동남아시아
BE_LiST21-0904,2559,에스앤케이치과의원,치과의원,서울특별시,강남구,신사동,신은섭,"서울특별시 강남구 신사동 584-6, 503호",
BE_LiST21-0906,2541,우리원영상의학과의원,의원,서울특별시,중구,명동,김영묵,서울특별시 중구 청계천로 100 시그니쳐타워스2층,
BE_LiST21-0122,248,로미안성형외과,의원,서울특별시,강남구,역삼1동,강민범,서울특별시 강남구 역삼동 820-9 글라스타워 801호,"미국,일본,중국,"
BE_LiST21-0123,252,지디스내과의원,의원,서울특별시,강남구,역삼2동,고재준외2명,서울특별시 강남구 역삼동 788-16 원경빌딩 2층 205호,"미국,일본,중국,"
BE_LiST21-0045,3356,메이저피부과의원,의원,서울특별시,강남구,역삼1동,고종현,"서울특별시 강남구 테헤란로 139-1, 4층(역삼동,한중앙빌딩)",
BE_LiST21-0441,1341,미소유성형외과의원,의원,서울특별시,강남구,압구정동,조길환,"서울특별시 강남구 압구정로30길 51 (신사동, ISA빌딩, 5층)","미국,중국,러시아,중동,몽골,베트남,"
BE_LiST21-0485,1500,상계백병원,종합병원,서울특별시,노원구,상계6.7동,이혁상,서울특별시 노원구 동일로 1342 (상계동),
BE_LiST21-0486,1502,고려대학교구로병원,상급종합병원,서울특별시,구로구,구로2동,백세현,서울특별시 구로구 구로동로 148 (구로동),
